equipment_id,asset_type,manufacturer,plant_site,criticality,rated_power_kw,rated_rpm,operating_hours,runtime_since_overhaul_hours,last_maintenance_days_ago,maintenance_type_last,num_starts_30d,load_percent,ambient_temp_c,humidity_percent,vibration_rms_mm_s,vibration_peak_g,bearing_temp_c,motor_winding_temp_c,oil_temp_c,oil_pressure_bar,oil_particle_count_iso4406,suction_pressure_bar,discharge_pressure_bar,flow_rate_m3_h,current_draw_amps,power_factor,failure_within_30d
EQ-000473,motor,WEG,SIN-04,B,630,1800,3595,1832,383,preventive,14,74.5,19.8,60.1,2.49,0.71,49.2,64.6,41.7,2.97,51.0,2.23,10.93,400.1,893.5,0.929,0
EQ-000474,motor,WEG,ROT-02,B,630,3000,44567,19415,466,preventive,11,82.3,25.9,35.3,2.91,0.8,61.5,74.2,56.9,3.79,37.0,2.37,8.53,407.2,983.0,0.916,0
EQ-000475,compressor,Atlas-Copco,HOU-01,A,75,3000,19660,9879,367,corrective,55,66.5,30.1,17.8,4.41,1.24,66.7,75.1,62.7,4.34,46.0,1.52,10.83,19.5,103.3,0.815,0
EQ-000476,pump,Sulzer,SIN-04,A,22,3600,22054,8549,145,predictive,10,50.7,36.2,29.2,2.94,0.99,75.1,78.5,70.5,2.45,34.0,1.72,11.14,5.0,30.5,0.819,0
EQ-000477,pump,Sulzer,ANT-05,C,22,1500,61980,9197,126,preventive,16,68.8,35.6,38.3,4.59,1.15,70.5,75.3,63.6,4.27,32.0,1.79,10.97,5.0,18.1,0.789,0
EQ-000478,pump,Siemens,ANT-05,B,22,3600,8022,4120,147,corrective,11,107.5,25.0,75.4,1.88,0.47,55.7,73.4,50.9,3.82,37.0,2.04,11.63,38.6,49.7,0.874,0
EQ-000479,pump,Atlas-Copco,ROT-02,B,160,3600,8469,1490,471,corrective,12,71.2,25.4,51.6,3.65,0.9,57.6,61.6,54.4,3.71,49.0,1.18,9.18,84.8,226.3,0.826,0
EQ-000480,motor,KSB,HOU-01,A,45,1500,13934,4879,227,predictive,10,74.6,24.4,32.3,3.28,1.0,54.5,64.1,51.1,3.41,34.0,1.81,9.14,32.6,71.5,0.91,0
EQ-000481,motor,Flowserve,ANT-05,C,11,1500,8892,1918,128,preventive,16,84.3,21.8,61.5,1.69,0.57,53.2,66.5,48.8,3.32,48.0,2.24,9.74,5.0,10.5,0.803,0
EQ-000482,motor,KSB,SIN-04,A,110,3600,19557,2483,272,preventive,7,68.0,17.8,47.0,2.46,0.44,53.2,66.8,52.8,3.25,54.0,2.26,13.08,54.8,127.2,0.885,0
EQ-000483,motor,Flowserve,HOU-01,C,250,1500,53288,13076,381,preventive,12,74.5,24.8,68.1,2.82,0.84,60.4,62.1,53.8,3.63,,1.62,13.92,170.7,357.5,0.903,0
EQ-000484,motor,Siemens,SIN-04,B,400,1500,65632,62782,266,preventive,11,80.9,29.4,67.4,6.95,1.81,68.6,81.1,65.2,3.09,49.0,1.53,12.09,257.6,612.6,0.83,1
EQ-000485,compressor,Siemens,HOU-01,A,160,3600,7732,953,110,corrective,47,84.2,35.2,54.3,3.72,1.14,63.6,78.7,55.9,3.97,47.0,2.29,9.31,111.7,251.7,0.883,0
EQ-000486,motor,WEG,ROT-02,A,110,1800,37717,35817,379,preventive,10,73.6,24.7,30.7,4.7,1.39,58.8,66.5,56.6,3.07,42.0,2.31,10.6,52.0,150.2,0.883,0
EQ-000487,motor,WEG,JUB-03,B,75,3000,4161,1739,343,preventive,18,69.6,26.4,52.9,3.36,0.79,52.8,63.8,45.8,2.59,41.0,2.19,6.93,59.7,98.1,0.855,0
EQ-000488,motor,Siemens,SIN-04,B,250,3600,44778,10992,239,predictive,8,60.3,34.7,50.0,1.99,0.54,63.0,65.9,61.7,3.31,55.0,2.06,12.05,133.2,288.0,0.883,0
EQ-000489,pump,KSB,HOU-01,B,11,3600,25372,6684,112,corrective,7,77.4,30.5,33.6,3.08,0.91,63.6,69.5,61.8,3.76,53.0,1.45,9.63,5.0,12.6,0.802,0
EQ-000490,motor,Atlas-Copco,ANT-05,A,400,3000,56085,17640,233,corrective,10,68.9,27.8,71.7,2.91,0.95,56.1,70.1,51.6,3.83,49.0,1.73,11.46,245.4,521.1,0.907,0
EQ-000491,pump,Siemens,ANT-05,A,110,3000,74288,38003,420,none,12,78.9,21.0,51.9,4.44,1.47,50.7,54.5,46.5,3.77,53.0,1.7,10.48,50.9,175.9,0.867,0
EQ-000492,motor,ABB,HOU-01,A,400,3600,15377,4141,121,preventive,10,72.7,30.2,71.6,3.58,1.08,67.9,84.4,60.4,3.74,47.0,2.66,9.98,255.8,554.2,0.964,0
EQ-000493,motor,Atlas-Copco,HOU-01,B,630,1500,19047,10086,52,predictive,9,75.7,29.9,50.9,0.67,0.31,58.3,73.7,56.6,2.97,38.0,1.32,8.76,363.7,903.3,0.905,0
EQ-000494,motor,Atlas-Copco,SIN-04,B,400,1800,37491,11067,41,preventive,10,77.0,27.0,70.4,2.8,0.85,70.2,83.1,64.1,3.72,37.0,1.56,8.98,247.6,572.4,0.89,0
EQ-000495,motor,Atlas-Copco,HOU-01,A,110,1500,24901,20829,507,corrective,12,94.8,27.7,62.6,3.76,1.22,63.2,78.7,57.0,5.75,53.0,2.57,13.55,72.7,203.4,0.855,0
EQ-000496,motor,Siemens,SIN-04,B,630,1500,12499,11834,473,predictive,16,72.5,18.6,51.7,3.29,1.05,50.4,57.3,49.3,2.67,35.0,2.55,7.87,375.8,871.8,0.863,0
EQ-000497,motor,Atlas-Copco,SIN-04,B,630,1500,74161,70231,233,corrective,11,69.9,23.4,60.7,6.08,1.51,63.2,69.2,63.8,4.1,55.0,2.01,5.14,374.2,832.7,0.931,1
EQ-000498,pump,WEG,JUB-03,C,45,3000,44921,27619,475,preventive,15,56.6,42.2,71.8,4.91,1.33,71.9,80.0,67.8,4.7,56.0,1.91,9.58,12.0,55.1,0.948,0
EQ-000499,pump,Siemens,SIN-04,B,45,1500,24398,17955,70,corrective,13,82.3,30.8,49.3,3.35,1.03,69.9,85.3,65.4,3.42,55.0,2.03,13.35,22.7,70.6,0.935,0
EQ-000500,motor,Atlas-Copco,JUB-03,B,110,1800,69171,12599,445,preventive,10,83.0,29.9,54.2,3.45,1.02,61.4,75.5,54.5,4.46,45.0,2.35,10.37,92.4,180.8,0.893,0
EQ-000501,compressor,Flowserve,ROT-02,B,11,3000,37094,21434,159,corrective,36,85.3,33.9,47.0,4.05,1.24,67.1,78.1,61.0,4.49,47.0,1.7,11.09,21.9,19.5,0.964,1
EQ-000502,compressor,ABB,JUB-03,B,110,3600,23618,5897,374,corrective,51,85.4,26.9,41.2,4.14,1.28,63.7,76.2,58.4,3.47,52.0,1.49,9.13,58.8,170.1,0.843,0
EQ-000503,motor,Atlas-Copco,JUB-03,B,45,1500,2418,1839,317,none,15,73.0,31.5,69.7,2.78,1.12,64.9,76.0,68.3,3.62,37.0,1.97,8.14,26.5,47.3,0.828,0
EQ-000504,compressor,Siemens,HOU-01,A,11,3000,61885,51024,480,preventive,48,86.3,32.5,70.5,6.63,1.87,73.4,91.0,63.1,4.13,50.0,1.83,10.42,5.0,12.9,0.912,0
EQ-000505,motor,KSB,JUB-03,A,250,3600,25811,9655,380,preventive,9,74.7,39.9,72.7,3.25,1.09,69.3,87.7,64.1,2.61,35.0,1.98,7.4,141.4,355.9,0.818,0
EQ-000506,pump,Flowserve,ROT-02,C,250,1500,61112,60437,116,preventive,10,70.0,25.9,,4.6,1.19,59.4,67.1,48.6,4.67,66.0,1.65,7.91,162.3,330.5,0.884,0
EQ-000507,compressor,Siemens,HOU-01,A,160,3600,30227,23985,383,preventive,64,69.0,33.6,57.8,4.1,1.13,67.6,82.5,63.0,3.85,45.0,2.75,8.86,109.4,206.3,0.93,0
EQ-000508,pump,Atlas-Copco,HOU-01,A,250,3000,38672,16273,486,preventive,11,89.9,26.8,48.1,3.38,1.02,62.5,71.7,61.1,2.99,50.0,1.35,13.57,143.2,427.5,0.953,0
EQ-000509,compressor,WEG,HOU-01,A,22,3000,26717,22890,66,corrective,57,73.4,22.3,45.2,3.16,0.95,52.8,65.8,45.5,3.37,35.0,2.38,13.5,26.3,36.4,0.902,0
EQ-000510,pump,Sulzer,SIN-04,A,11,3000,74671,22787,106,preventive,16,69.0,30.4,69.8,3.14,1.14,68.0,75.5,64.2,3.32,39.0,2.16,10.22,45.4,15.6,0.841,0
EQ-000511,motor,ABB,JUB-03,C,75,3000,57418,50591,113,none,11,79.0,39.8,67.0,4.52,1.24,78.4,90.2,74.4,2.58,61.0,2.02,12.98,49.8,102.5,0.959,0
EQ-000512,motor,Atlas-Copco,HOU-01,B,11,3000,60995,47592,122,corrective,18,88.7,23.9,20.0,4.31,1.08,58.2,80.7,56.6,3.27,43.0,1.48,11.43,10.4,14.5,0.873,0
EQ-000513,compressor,KSB,HOU-01,A,160,1500,22079,15934,430,predictive,46,78.8,27.9,50.1,6.72,1.71,66.1,77.9,61.1,,47.0,1.97,9.48,83.0,242.8,0.916,1
EQ-000514,motor,Flowserve,JUB-03,B,22,3000,61105,32540,478,preventive,13,56.3,31.7,38.1,3.7,0.83,64.4,66.6,56.9,3.75,57.0,1.91,11.65,22.9,21.2,0.88,0
EQ-000515,pump,ABB,HOU-01,A,160,3600,44090,36011,186,predictive,16,77.4,29.7,25.2,5.12,1.21,67.0,78.0,66.5,3.64,58.0,2.56,11.02,91.0,235.1,0.896,0
EQ-000516,compressor,WEG,JUB-03,A,75,1500,21392,17279,290,preventive,59,82.1,35.3,53.8,5.01,1.55,71.4,86.1,66.7,3.68,56.0,2.37,9.85,54.2,123.0,0.848,1
EQ-000517,compressor,WEG,HOU-01,A,630,1500,36133,11522,334,predictive,53,85.2,24.2,73.3,3.69,0.87,61.0,70.4,50.4,3.31,39.0,2.5,8.57,385.9,1013.2,0.85,0
EQ-000518,compressor,ABB,HOU-01,B,630,3000,18097,11221,304,corrective,34,81.9,21.9,55.7,4.99,1.26,59.3,73.4,51.0,2.73,33.0,2.04,11.74,379.9,982.5,0.921,0
EQ-000519,motor,Flowserve,SIN-04,C,75,3000,26829,16280,9,predictive,16,85.2,34.1,51.9,2.56,0.86,68.1,81.0,65.7,3.19,48.0,2.42,7.86,44.2,118.4,0.832,0
EQ-000520,compressor,WEG,ANT-05,A,110,3000,75203,67996,316,preventive,41,57.8,28.8,59.0,7.05,1.83,60.7,69.8,62.4,3.82,47.0,1.31,10.5,74.1,115.6,0.877,1
EQ-000521,motor,Siemens,HOU-01,B,45,1500,1917,1740,511,predictive,14,69.1,23.8,61.4,3.07,0.58,49.5,60.2,42.2,3.05,,2.35,7.84,33.8,59.3,0.866,0
EQ-000522,motor,Atlas-Copco,ANT-05,B,160,3000,55701,15742,139,preventive,9,70.3,40.4,73.8,2.87,0.82,74.6,80.2,73.0,3.76,38.0,1.35,8.09,124.1,209.1,0.874,0
EQ-000523,compressor,Flowserve,ANT-05,B,75,1800,18538,16856,529,preventive,38,92.5,28.1,41.9,6.8,1.99,66.0,78.9,58.5,3.68,57.0,2.01,12.65,70.8,141.1,0.89,1
EQ-000524,pump,ABB,ANT-05,A,160,1500,78545,58892,137,none,14,76.0,32.9,60.1,4.21,1.02,68.1,74.2,62.2,4.3,51.0,2.63,11.9,93.6,225.8,0.873,0
EQ-000525,compressor,ABB,HOU-01,C,250,1500,44448,31189,480,preventive,46,94.1,27.9,49.3,6.17,1.88,67.6,82.8,62.6,2.98,46.0,1.04,7.64,166.4,440.7,0.863,1
EQ-000526,motor,WEG,ANT-05,C,250,1800,10368,9709,437,corrective,14,92.6,26.0,35.8,3.97,0.95,60.7,79.4,51.8,3.5,49.0,1.73,11.62,140.4,435.5,0.79,0
EQ-000527,pump,Sulzer,HOU-01,C,400,1500,39286,27465,458,predictive,9,69.7,21.4,57.5,5.48,1.74,59.5,64.7,57.4,3.09,41.0,1.9,5.15,267.6,536.4,0.881,0
EQ-000528,pump,Atlas-Copco,HOU-01,B,160,1500,38098,9969,159,preventive,11,71.8,32.0,46.6,4.12,1.36,66.4,75.5,62.3,2.42,31.0,1.3,9.38,88.0,221.8,0.822,0
EQ-000529,compressor,Siemens,JUB-03,A,160,1500,6666,2846,499,corrective,38,69.2,27.5,78.0,3.72,1.14,56.2,66.7,56.3,4.74,31.0,1.94,11.51,91.0,215.6,0.931,0
EQ-000530,pump,ABB,HOU-01,B,11,1800,79576,33930,332,predictive,8,74.2,26.6,55.3,6.08,1.91,62.8,70.2,52.2,3.95,53.0,1.94,11.59,11.4,26.5,0.906,0
EQ-000531,pump,WEG,HOU-01,C,110,1800,66061,61008,430,predictive,15,59.8,28.7,46.3,6.12,1.74,63.5,64.7,55.8,3.26,62.0,2.09,10.09,70.7,118.9,0.899,1
EQ-000532,motor,Siemens,SIN-04,C,11,1500,56270,32883,512,predictive,20,62.9,28.9,74.1,4.24,1.01,58.9,61.0,55.2,2.94,57.0,1.61,10.13,5.9,8.0,0.848,0
EQ-000533,pump,WEG,HOU-01,A,630,1500,56597,14096,294,predictive,10,69.8,27.7,85.0,4.17,1.27,65.4,75.1,58.7,,46.0,1.67,11.71,388.5,841.6,0.879,0
EQ-000534,compressor,ABB,ANT-05,B,160,1500,69434,17878,459,corrective,39,84.0,27.7,69.3,5.24,1.67,64.4,78.1,60.2,3.94,44.0,2.24,9.19,96.4,258.1,0.808,0
EQ-000535,motor,Atlas-Copco,SIN-04,B,45,1500,81036,42455,193,corrective,12,69.7,28.2,54.8,4.53,1.28,55.0,60.5,49.3,3.56,57.0,1.2,7.9,21.5,68.9,0.914,0
EQ-000536,motor,Sulzer,ROT-02,B,22,3000,29004,4380,307,preventive,12,66.1,32.8,37.3,2.01,0.56,66.2,82.2,57.6,3.84,42.0,1.64,13.91,5.0,22.0,0.833,0
EQ-000537,motor,Siemens,ANT-05,B,250,1800,12529,9581,477,preventive,13,72.7,29.4,60.6,4.3,1.15,60.3,68.5,55.8,3.59,36.0,2.95,11.52,183.8,348.9,0.799,0
EQ-000538,pump,KSB,ANT-05,A,22,3000,62377,8059,521,preventive,11,67.0,17.7,55.3,5.44,1.47,48.1,54.4,44.4,3.39,33.0,2.05,9.85,35.4,27.4,0.872,0
EQ-000539,motor,KSB,JUB-03,C,75,3000,35758,32103,242,none,9,77.8,27.3,79.0,4.96,1.44,65.0,79.2,63.5,3.62,,2.48,8.62,42.7,125.4,0.907,1
EQ-000540,pump,Sulzer,HOU-01,A,400,3000,71842,41646,290,none,8,100.3,30.1,85.2,5.2,1.54,68.8,91.4,65.2,4.03,49.0,2.01,9.65,236.7,754.9,0.817,1
EQ-000541,pump,ABB,HOU-01,B,400,3000,7165,2141,319,corrective,19,75.2,33.7,70.5,3.23,0.85,62.2,74.2,57.1,2.76,45.0,1.8,8.53,257.5,576.0,0.824,0
EQ-000542,pump,Atlas-Copco,HOU-01,B,160,1500,79074,36608,487,preventive,5,67.6,28.0,62.8,5.82,1.7,63.6,69.1,56.2,3.91,40.0,1.89,9.0,105.2,215.1,0.932,1
EQ-000543,pump,WEG,HOU-01,B,400,3000,28419,3967,332,predictive,10,83.5,36.5,55.9,2.94,0.94,67.8,85.5,64.8,3.78,52.0,1.77,10.49,239.5,644.2,0.928,0
EQ-000544,pump,ABB,ROT-02,C,75,3000,11878,11101,138,predictive,9,63.7,19.1,77.5,2.59,0.61,52.7,60.6,47.2,2.6,37.0,1.77,8.02,38.6,88.3,0.83,0
EQ-000545,compressor,Sulzer,JUB-03,A,75,1500,31153,9453,529,preventive,39,64.0,24.9,20.5,4.85,1.46,53.1,57.0,51.2,2.68,45.0,2.4,9.07,57.3,95.2,0.85,0
EQ-000546,pump,ABB,JUB-03,B,45,1500,37635,25205,335,corrective,8,66.3,30.9,54.7,4.89,1.5,59.9,64.1,57.3,4.3,49.0,2.2,7.9,52.3,57.0,0.849,0
EQ-000547,motor,KSB,ROT-02,A,160,3600,13273,10654,439,preventive,11,58.7,17.3,61.5,4.68,1.23,52.8,67.2,46.7,2.82,47.0,2.75,11.85,119.9,176.0,0.956,0
EQ-000548,compressor,Siemens,ANT-05,C,11,3000,32944,20982,36,corrective,51,85.0,23.7,40.2,3.83,0.97,55.8,74.1,51.9,3.68,40.0,1.58,12.71,22.2,24.2,0.985,0
EQ-000549,pump,WEG,JUB-03,C,75,3600,16487,15514,380,preventive,13,73.0,26.7,38.5,4.65,1.2,65.7,75.9,62.4,2.82,52.0,2.46,11.04,54.7,107.5,0.926,0
EQ-000550,pump,Siemens,HOU-01,A,45,1500,27899,23823,85,corrective,12,54.0,27.1,72.2,3.69,1.05,57.2,58.8,54.1,3.61,46.0,2.5,10.58,30.8,53.3,0.848,0
EQ-000551,pump,Sulzer,ROT-02,B,75,1500,31781,14516,166,corrective,13,87.1,34.2,31.3,3.98,1.18,68.2,79.6,69.8,2.49,32.0,1.75,10.6,28.5,131.9,0.882,0
EQ-000552,motor,ABB,HOU-01,A,45,3000,38282,33650,309,preventive,17,63.1,31.6,61.2,4.16,1.3,65.4,68.6,61.2,3.92,51.0,1.81,9.31,17.2,46.4,0.81,0
EQ-000553,motor,ABB,ROT-02,B,75,1800,80670,43186,336,corrective,13,80.5,26.1,47.7,4.19,1.02,60.0,68.1,54.7,2.89,54.0,1.87,12.18,50.3,114.2,0.863,0
EQ-000554,compressor,Flowserve,ROT-02,C,75,1500,23857,23589,308,preventive,32,84.3,17.7,44.2,5.37,1.42,56.6,68.9,47.2,3.37,48.0,2.07,6.92,62.3,116.4,0.916,0
EQ-000555,pump,Atlas-Copco,HOU-01,B,160,3000,10545,10127,342,preventive,7,72.4,24.4,29.1,3.43,0.86,59.6,70.3,54.2,3.72,50.0,2.35,4.43,106.3,221.3,0.914,0
EQ-000556,motor,Siemens,ROT-02,B,160,1500,10302,2333,426,none,19,70.7,30.3,50.3,2.74,0.95,58.0,62.5,52.7,3.91,35.0,2.84,11.99,118.7,222.8,0.957,0
EQ-000557,compressor,Sulzer,HOU-01,A,110,1500,72764,40015,479,predictive,49,77.7,29.0,42.8,5.9,1.69,61.5,78.6,55.7,4.63,38.0,0.79,8.42,54.3,167.3,0.915,0
EQ-000558,pump,Siemens,ANT-05,B,11,3000,81214,13456,353,preventive,13,85.4,28.1,41.6,3.63,1.1,59.6,74.7,54.8,4.28,53.0,2.73,10.63,5.0,10.5,0.933,0
EQ-000559,motor,WEG,SIN-04,C,400,3600,1138,709,352,none,17,85.8,33.6,50.1,2.21,0.81,61.5,73.2,56.3,3.5,53.0,2.22,7.54,242.4,655.6,0.832,1
EQ-000560,motor,Flowserve,SIN-04,B,630,1800,48925,28128,447,preventive,10,69.5,33.7,62.9,3.6,0.94,61.7,70.8,58.5,2.82,42.0,2.21,9.29,393.7,844.4,0.927,0
EQ-000561,pump,Sulzer,ROT-02,B,400,3600,44365,38630,450,corrective,8,90.9,31.2,58.2,4.87,1.07,66.4,87.0,58.1,3.4,51.0,2.01,13.51,224.7,694.4,0.889,0
EQ-000562,pump,KSB,HOU-01,A,22,1800,71081,54777,150,corrective,11,72.7,38.8,64.9,6.24,1.83,73.8,80.4,71.1,3.95,40.0,1.79,9.21,5.0,38.9,0.835,0
EQ-000563,pump,Siemens,HOU-01,A,250,1800,7813,7353,491,none,10,59.8,19.5,57.9,5.39,1.38,49.6,58.1,49.7,3.33,36.0,1.29,11.14,157.2,294.4,0.848,0
EQ-000564,pump,Flowserve,ROT-02,A,160,1500,25240,3814,300,preventive,16,69.4,25.9,75.9,2.49,0.78,49.3,53.8,45.4,3.82,34.0,2.36,9.48,85.8,203.2,0.956,0
EQ-000565,pump,ABB,ROT-02,A,160,3600,76740,44882,443,predictive,10,75.9,19.6,32.0,5.46,1.65,53.5,65.7,49.3,,52.0,1.89,10.56,102.5,225.1,0.857,0
EQ-000566,compressor,Atlas-Copco,ROT-02,B,630,1500,18695,14210,348,preventive,41,71.3,33.7,85.7,4.08,1.13,62.4,68.2,57.7,4.96,48.0,2.36,10.62,406.5,849.3,0.955,0
EQ-000567,pump,WEG,SIN-04,C,45,3000,9857,3028,130,preventive,11,53.4,28.0,59.5,3.63,1.38,59.8,65.1,54.3,2.46,31.0,1.84,10.62,31.4,42.8,0.815,0
EQ-000568,pump,WEG,ROT-02,C,250,1500,6164,1595,220,preventive,11,56.7,25.0,69.3,3.03,0.86,51.8,54.2,44.3,4.29,,1.49,10.21,148.7,265.3,0.807,0
EQ-000569,motor,Atlas-Copco,HOU-01,A,45,1500,42661,15611,75,preventive,11,61.7,27.9,58.9,2.35,0.72,56.6,69.8,54.5,3.38,42.0,2.63,12.6,36.5,54.7,0.93,0
EQ-000570,motor,Siemens,ROT-02,C,11,1800,35726,5383,104,predictive,14,87.1,19.7,45.7,2.65,0.61,53.7,67.0,47.2,3.29,52.0,2.46,10.64,5.0,15.3,0.957,0
EQ-000571,motor,Flowserve,HOU-01,B,75,1800,5832,4238,442,corrective,14,63.9,38.4,48.8,3.8,1.11,70.2,77.4,66.2,3.79,30.0,1.76,8.29,47.0,96.8,0.925,0
EQ-000572,pump,Flowserve,ANT-05,A,110,3600,12199,4123,140,preventive,14,78.9,34.6,71.6,2.77,0.7,66.0,77.1,58.8,2.02,46.0,1.25,4.44,43.3,176.8,0.931,0
EQ-000573,motor,ABB,JUB-03,B,160,1500,79532,8876,84,none,19,76.3,14.4,53.6,2.64,0.62,46.0,55.6,37.9,3.8,54.0,2.02,9.61,97.5,243.1,0.84,0
EQ-000574,motor,KSB,HOU-01,C,75,1500,38217,27403,258,preventive,14,74.1,32.2,71.8,2.76,0.5,64.4,86.4,55.6,3.13,56.0,1.22,7.58,43.8,99.8,0.848,1
EQ-000575,pump,Siemens,HOU-01,C,110,3000,11271,7280,65,preventive,12,76.0,27.4,52.7,2.68,0.49,60.6,72.3,56.8,3.47,40.0,1.57,12.22,51.2,153.7,0.959,0
EQ-000576,motor,Atlas-Copco,SIN-04,B,630,1500,79974,22513,244,corrective,15,83.4,28.8,66.4,3.22,0.9,70.7,82.2,67.4,2.51,38.0,1.73,11.1,378.6,1000.3,0.855,0
EQ-000577,motor,ABB,ANT-05,C,630,3000,34770,30904,498,corrective,13,76.5,33.5,47.2,4.55,1.34,73.2,80.9,69.8,2.76,59.0,2.01,7.19,364.3,914.6,0.858,0
EQ-000578,motor,ABB,JUB-03,B,22,1500,19132,4927,489,corrective,13,79.3,25.1,23.6,3.81,1.1,54.7,66.0,51.2,2.94,32.0,2.31,10.28,18.3,20.4,0.82,0
EQ-000579,pump,Sulzer,ROT-02,B,630,1500,77673,73187,19,corrective,15,82.3,36.1,49.9,5.53,1.61,74.6,92.9,68.4,3.3,52.0,2.34,9.15,365.9,1000.9,0.8,1
EQ-000580,motor,Atlas-Copco,ANT-05,B,630,1500,44216,4697,264,preventive,11,65.9,23.0,49.6,2.55,0.55,46.6,46.7,40.0,3.22,51.0,2.16,11.57,381.3,785.7,0.913,0
EQ-000581,pump,WEG,ROT-02,A,250,3600,56373,30145,503,preventive,11,70.9,24.8,52.1,4.49,1.33,61.0,72.6,56.8,3.04,39.0,2.43,11.62,145.7,336.2,0.888,0
EQ-000582,motor,WEG,JUB-03,C,160,3600,61103,49021,211,preventive,11,47.8,32.5,35.1,5.51,1.65,64.0,71.1,62.4,2.73,,1.89,8.39,65.5,148.1,0.854,0
EQ-000583,pump,ABB,HOU-01,B,630,1800,84186,63885,111,preventive,9,60.1,32.8,72.0,5.38,1.54,66.2,66.3,60.0,2.86,62.0,1.76,8.36,405.8,715.6,0.861,1
EQ-000584,motor,Siemens,ANT-05,B,110,1500,6036,5090,357,preventive,12,91.2,18.1,72.6,3.18,0.83,51.9,61.8,47.6,4.62,33.0,2.48,11.63,56.0,200.8,0.811,0
EQ-000585,pump,KSB,ANT-05,B,11,1500,31195,23553,264,corrective,16,76.8,30.3,85.0,4.97,1.4,65.9,75.6,66.1,4.08,37.0,2.13,13.25,5.0,18.1,0.83,0
EQ-000586,motor,Flowserve,JUB-03,A,400,3600,48968,36995,305,corrective,11,86.9,32.6,24.2,4.65,1.22,67.4,75.4,61.5,3.0,59.0,1.7,9.53,230.0,660.7,0.87,1
EQ-000587,pump,ABB,SIN-04,A,630,1500,33293,18703,313,preventive,11,96.2,29.1,33.7,4.36,1.14,62.3,79.4,55.1,3.75,51.0,1.97,10.52,372.4,1155.5,0.801,0
EQ-000588,motor,ABB,ROT-02,B,22,3000,48715,38292,389,preventive,14,69.9,21.6,65.8,4.01,1.06,51.5,53.1,47.6,3.29,,1.59,7.4,35.3,31.2,0.949,0
EQ-000589,compressor,ABB,JUB-03,C,400,3000,16726,12183,426,preventive,45,99.2,30.9,38.6,6.14,1.69,73.3,90.8,69.9,2.63,37.0,2.23,9.16,248.3,752.5,0.961,1
EQ-000590,pump,Siemens,ROT-02,C,75,3000,50225,16417,108,predictive,6,67.3,16.7,62.8,3.35,0.75,45.9,54.5,38.9,4.08,55.0,1.61,12.42,59.0,89.7,0.931,0
EQ-000591,motor,KSB,ROT-02,C,45,1500,12809,7762,23,predictive,10,83.1,26.6,43.1,2.76,0.62,60.9,72.8,58.3,3.51,36.0,2.02,10.44,21.2,69.5,0.982,0
EQ-000592,motor,ABB,HOU-01,B,630,3000,68742,15630,218,preventive,7,56.4,25.6,49.9,2.57,1.03,56.0,63.1,52.4,3.87,36.0,2.01,15.2,384.8,687.3,0.82,0
EQ-000593,motor,WEG,JUB-03,A,75,1800,15263,8574,186,corrective,12,58.3,22.0,59.0,2.91,0.89,57.4,61.4,51.6,3.62,46.0,2.43,13.15,24.2,85.1,0.956,0
EQ-000594,motor,Atlas-Copco,HOU-01,B,11,1500,70170,20068,168,preventive,12,73.9,28.4,67.6,2.16,0.49,60.2,69.2,55.4,4.15,57.0,1.64,7.03,5.0,15.8,0.874,0
EQ-000595,pump,WEG,ANT-05,B,22,1500,64072,55267,270,corrective,14,70.3,26.5,55.0,5.22,1.37,59.2,64.5,48.9,3.26,60.0,1.28,7.85,22.4,34.9,0.817,0
EQ-000596,motor,ABB,HOU-01,B,22,1500,72542,65641,348,corrective,14,57.1,34.3,53.0,4.69,1.25,67.5,73.6,63.7,4.2,54.0,2.47,10.56,10.8,30.1,0.752,0
EQ-000597,motor,WEG,HOU-01,A,45,3000,42588,14116,319,preventive,11,71.6,18.9,55.9,4.02,0.94,51.6,53.7,45.5,3.88,48.0,2.24,13.2,27.4,54.8,0.915,0
EQ-000598,compressor,Atlas-Copco,HOU-01,B,11,1500,12625,11222,34,none,43,88.9,30.9,37.6,2.94,0.84,59.0,76.7,53.3,4.09,55.0,2.83,12.01,5.0,20.3,0.785,0
EQ-000599,pump,WEG,HOU-01,B,160,1500,17633,12042,483,predictive,12,79.5,26.2,65.3,3.95,1.32,61.5,69.2,59.1,4.07,48.0,2.4,10.04,71.0,243.8,0.939,0
EQ-000600,pump,ABB,ANT-05,C,110,1500,19835,8818,108,corrective,11,74.7,39.2,61.3,3.24,0.86,70.7,76.8,59.2,2.81,53.0,2.14,12.98,87.1,157.9,0.841,0
EQ-000601,motor,WEG,ROT-02,B,45,3000,70393,48610,436,none,17,72.3,16.0,60.7,4.4,1.37,49.2,53.7,43.1,3.45,47.0,2.07,10.13,36.3,68.7,0.859,0
EQ-000602,pump,Flowserve,JUB-03,A,45,3600,71084,22452,193,preventive,9,70.4,23.6,36.5,3.36,1.3,49.0,65.6,43.1,3.42,52.0,2.6,5.52,36.5,63.6,0.753,0
EQ-000603,compressor,KSB,ANT-05,B,630,3600,38228,23386,130,corrective,41,90.6,25.9,66.5,5.15,1.48,58.9,72.1,54.1,3.69,43.0,2.11,12.36,351.6,1091.4,0.927,0
EQ-000604,pump,Sulzer,ANT-05,A,11,1800,43857,37514,509,preventive,10,63.9,19.8,49.1,5.71,1.61,47.0,55.4,49.1,3.21,53.0,2.15,10.83,5.0,22.5,0.87,0
